pair_id,item_left_id,item_right_id,item_left_logprob,item_right_logprob,item_left_bucket,item_right_bucket,pair_type,is_anchor,transitivity_triple_id,model_winner_id,model_winner_filename,left_filename,right_filename
124,60,40,-34.16989517211914,-12.56448745727539,C,A,two-apart,False,,40,b_40_logprob-12.56_depth1_牛言.png,a_60_logprob-34.17_depth2_𠂉灬米夊.png,b_40_logprob-12.56_depth1_牛言.png
125,28,73,-40.24191665649414,-13.668036460876465,C,A,two-apart,False,,73,b_73_logprob-13.67_depth1_酉八.png,a_28_logprob-40.24_depth3_舟乛厶𠃛.png,b_73_logprob-13.67_depth1_酉八.png
126,50,93,-59.17383575439453,-11.977619171142578,C,A,two-apart,True,,93,b_93_logprob-11.98_depth1_車朿.png,a_50_logprob-59.17_depth4_⺌𠂉𠃋皿宀刂.png,b_93_logprob-11.98_depth1_車朿.png
127,18,45,-12.619673728942871,-55.62016296386719,A,C,two-apart,True,,18,a_18_logprob-12.62_depth1_氵页.png,a_18_logprob-12.62_depth1_氵页.png,b_45_logprob-55.62_depth3_女欠灬朩.png
128,96,73,-16.297285079956055,-13.668036460876465,B,A,adjacent,False,,73,b_73_logprob-13.67_depth1_酉八.png,a_96_logprob-16.30_depth2_饣罒虫.png,b_73_logprob-13.67_depth1_酉八.png
129,52,40,-16.22441291809082,-12.56448745727539,B,A,adjacent,False,,40,b_40_logprob-12.56_depth1_牛言.png,a_52_logprob-16.22_depth2_車阝皿.png,b_40_logprob-12.56_depth1_牛言.png
130,77,11,-11.432538986206055,-35.27238464355469,A,C,two-apart,False,,77,a_77_logprob-11.43_depth1_木㔾.png,a_77_logprob-11.43_depth1_木㔾.png,b_11_logprob-35.27_depth3_扌山寸犬.png
131,94,45,-14.886737823486328,-55.62016296386719,B,C,adjacent,True,,94,a_94_logprob-14.89_depth1_皮巨.png,a_94_logprob-14.89_depth1_皮巨.png,b_45_logprob-55.62_depth3_女欠灬朩.png
132,39,84,-10.534568786621094,-16.359115600585938,A,B,adjacent,False,,39,a_39_logprob-10.53_depth1_木車.png,a_39_logprob-10.53_depth1_木車.png,b_84_logprob-16.36_depth2_宀龰𠂒.png
133,0,59,-11.490913391113281,-52.70266342163086,A,C,two-apart,True,,0,a_0_logprob-11.49_depth1_⺊牙.png,a_0_logprob-11.49_depth1_⺊牙.png,b_59_logprob-52.70_depth3_𠂊𠁱頁𠂉灬.png
134,76,22,-17.037097930908203,-28.21929931640625,B,C,adjacent,False,,76,a_76_logprob-17.04_depth2_厂龴隹.png,a_76_logprob-17.04_depth2_厂龴隹.png,b_22_logprob-28.22_depth2_牛木子.png
135,34,51,-30.464183807373047,-17.731124877929688,C,B,adjacent,False,,51,b_51_logprob-17.73_depth2_囗乛灬.png,a_34_logprob-30.46_depth3_亻勹米犬.png,b_51_logprob-17.73_depth2_囗乛灬.png
136,92,20,-16.640344619750977,-44.37883758544922,B,C,adjacent,False,,92,a_92_logprob-16.64_depth2_衤冖车.png,a_92_logprob-16.64_depth2_衤冖车.png,b_20_logprob-44.38_depth2_虫丹𠀍.png
137,81,6,-12.170160293579102,-16.21480369567871,A,B,adjacent,False,,81,a_81_logprob-12.17_depth1_虫犬.png,a_81_logprob-12.17_depth1_虫犬.png,b_6_logprob-16.21_depth1_承隹.png
138,32,7,-11.628571510314941,-22.737812042236328,A,C,two-apart,False,,32,a_32_logprob-11.63_depth1_囗皮.png,a_32_logprob-11.63_depth1_囗皮.png,b_7_logprob-22.74_depth2_木九㐄.png
139,68,9,-20.242103576660156,-47.056949615478516,B,C,adjacent,False,,68,a_68_logprob-20.24_depth2_末卜皿.png,a_68_logprob-20.24_depth2_末卜皿.png,b_9_logprob-47.06_depth2_𠂊㐅木龰.png
140,81,76,-12.170160293579102,-17.037097930908203,A,B,adjacent,False,,81,a_81_logprob-12.17_depth1_虫犬.png,a_81_logprob-12.17_depth1_虫犬.png,b_76_logprob-17.04_depth2_厂龴隹.png
141,69,19,-13.792120933532715,-21.825584411621094,A,C,two-apart,False,,69,a_69_logprob-13.79_depth1_扌罒.png,a_69_logprob-13.79_depth1_扌罒.png,b_19_logprob-21.83_depth2_冂𠂆入.png
142,30,97,-26.583446502685547,-11.373589515686035,C,A,two-apart,False,,97,b_97_logprob-11.37_depth1_衤隹.png,a_30_logprob-26.58_depth2_𠂊非言.png,b_97_logprob-11.37_depth1_衤隹.png
143,92,49,-16.640344619750977,-12.32369613647461,B,A,adjacent,False,,49,b_49_logprob-12.32_depth1_井阝.png,a_92_logprob-16.64_depth2_衤冖车.png,b_49_logprob-12.32_depth1_井阝.png
144,95,86,-15.948890686035156,-12.327071189880371,B,A,adjacent,False,,86,b_86_logprob-12.33_depth2_扌冖亅.png,a_95_logprob-15.95_depth2_言⺊女.png,b_86_logprob-12.33_depth2_扌冖亅.png
145,38,1,-19.521976470947266,-11.010005950927734,B,A,adjacent,False,,1,b_1_logprob-11.01_depth1_言言.png,a_38_logprob-19.52_depth2_舟皿米.png,b_1_logprob-11.01_depth1_言言.png
146,22,93,-28.21929931640625,-11.977619171142578,C,A,two-apart,False,,93,b_93_logprob-11.98_depth1_車朿.png,a_22_logprob-28.22_depth2_牛木子.png,b_93_logprob-11.98_depth1_車朿.png
147,89,35,-18.78948402404785,-34.89384841918945,B,C,adjacent,False,,89,a_89_logprob-18.79_depth2_言耂头.png,a_89_logprob-18.79_depth2_言耂头.png,b_35_logprob-34.89_depth2_𡿨灬止㇉.png
148,87,10,-13.239533424377441,-45.127925872802734,A,C,two-apart,False,,87,a_87_logprob-13.24_depth1_冂兆.png,a_87_logprob-13.24_depth1_冂兆.png,b_10_logprob-45.13_depth2_示𠂉缶頁.png
149,6,32,-16.21480369567871,-11.628571510314941,B,A,adjacent,False,,32,b_32_logprob-11.63_depth1_囗皮.png,a_6_logprob-16.21_depth1_承隹.png,b_32_logprob-11.63_depth1_囗皮.png
150,54,27,-12.640939712524414,-17.570690155029297,A,B,adjacent,False,,54,a_54_logprob-12.64_depth1_牛非.png,a_54_logprob-12.64_depth1_牛非.png,b_27_logprob-17.57_depth2_酉山民.png
151,20,74,-44.37883758544922,-17.417034149169922,C,B,adjacent,False,2.0,74,b_74_logprob-17.42_depth2_彳言阝.png,a_20_logprob-44.38_depth2_虫丹𠀍.png,b_74_logprob-17.42_depth2_彳言阝.png
152,71,47,-17.296186447143555,-21.60977554321289,B,C,adjacent,False,,71,a_71_logprob-17.30_depth2_纟灬示.png,a_71_logprob-17.30_depth2_纟灬示.png,b_47_logprob-21.61_depth3_酉山疋灬.png
153,75,43,-17.021526336669922,-31.800039291381836,B,C,adjacent,False,,75,a_75_logprob-17.02_depth2_亻于朩.png,a_75_logprob-17.02_depth2_亻于朩.png,b_43_logprob-31.80_depth2_巨⺊女.png
154,15,21,-15.248077392578125,-30.815937042236328,B,C,adjacent,False,,15,a_15_logprob-15.25_depth2_𠂊止皮.png,a_15_logprob-15.25_depth2_𠂊止皮.png,b_21_logprob-30.82_depth3_扌疒𠂆米.png
155,71,46,-17.296186447143555,-12.983068466186523,B,A,adjacent,False,,46,b_46_logprob-12.98_depth1_几也.png,a_71_logprob-17.30_depth2_纟灬示.png,b_46_logprob-12.98_depth1_几也.png
156,36,23,-30.93015480041504,-17.51539421081543,C,B,adjacent,False,,23,b_23_logprob-17.52_depth2_疌刂朩.png,a_36_logprob-30.93_depth2_𡿨灬冘.png,b_23_logprob-17.52_depth2_疌刂朩.png
157,8,38,-14.421226501464844,-19.521976470947266,A,B,adjacent,False,,8,a_8_logprob-14.42_depth1_手犬.png,a_8_logprob-14.42_depth1_手犬.png,b_38_logprob-19.52_depth2_舟皿米.png
158,40,15,-12.56448745727539,-15.248077392578125,A,B,adjacent,False,,40,a_40_logprob-12.56_depth1_牛言.png,a_40_logprob-12.56_depth1_牛言.png,b_15_logprob-15.25_depth2_𠂊止皮.png
159,29,67,-47.35588455200195,-14.852359771728516,C,B,adjacent,False,,67,b_67_logprob-14.85_depth1_龴九.png,a_29_logprob-47.36_depth4_山宀且阝𠂊隹.png,b_67_logprob-14.85_depth1_龴九.png
160,97,23,-11.373589515686035,-17.51539421081543,A,B,adjacent,False,,97,a_97_logprob-11.37_depth1_衤隹.png,a_97_logprob-11.37_depth1_衤隹.png,b_23_logprob-17.52_depth2_疌刂朩.png
161,24,68,-25.57851791381836,-20.242103576660156,C,B,adjacent,False,,68,b_68_logprob-20.24_depth2_末卜皿.png,a_24_logprob-25.58_depth2_亻木比.png,b_68_logprob-20.24_depth2_末卜皿.png
162,87,21,-13.239533424377441,-30.815937042236328,A,C,two-apart,False,,87,a_87_logprob-13.24_depth1_冂兆.png,a_87_logprob-13.24_depth1_冂兆.png,b_21_logprob-30.82_depth3_扌疒𠂆米.png
163,39,21,-10.534568786621094,-30.815937042236328,A,C,two-apart,False,,39,a_39_logprob-10.53_depth1_木車.png,a_39_logprob-10.53_depth1_木車.png,b_21_logprob-30.82_depth3_扌疒𠂆米.png
164,19,88,-21.825584411621094,-11.282393455505371,C,A,two-apart,False,,88,b_88_logprob-11.28_depth1_亻井.png,a_19_logprob-21.83_depth2_冂𠂆入.png,b_88_logprob-11.28_depth1_亻井.png
165,42,91,-32.71590805053711,-18.618663787841797,C,B,adjacent,False,,91,b_91_logprob-18.62_depth2_重𠂊龰.png,a_42_logprob-32.72_depth2_子宀寸.png,b_91_logprob-18.62_depth2_重𠂊龰.png
166,15,81,-15.248077392578125,-12.170160293579102,B,A,adjacent,False,,81,b_81_logprob-12.17_depth1_虫犬.png,a_15_logprob-15.25_depth2_𠂊止皮.png,b_81_logprob-12.17_depth1_虫犬.png
167,96,12,-16.297285079956055,-11.818732261657715,B,A,adjacent,False,,12,b_12_logprob-11.82_depth2_氵冖亅.png,a_96_logprob-16.30_depth2_饣罒虫.png,b_12_logprob-11.82_depth2_氵冖亅.png
168,14,79,-36.649452209472656,-17.48951530456543,C,B,adjacent,False,,79,b_79_logprob-17.49_depth1_永牛.png,a_14_logprob-36.65_depth3_衤𠂉灬几.png,b_79_logprob-17.49_depth1_永牛.png
169,62,97,-37.531455993652344,-11.373589515686035,C,A,two-apart,False,,97,b_97_logprob-11.37_depth1_衤隹.png,a_62_logprob-37.53_depth3_亻𠃋𡿨且.png,b_97_logprob-11.37_depth1_衤隹.png
170,39,76,-10.534568786621094,-17.037097930908203,A,B,adjacent,False,,39,a_39_logprob-10.53_depth1_木車.png,a_39_logprob-10.53_depth1_木車.png,b_76_logprob-17.04_depth2_厂龴隹.png
171,84,40,-16.359115600585938,-12.56448745727539,B,A,adjacent,False,,40,b_40_logprob-12.56_depth1_牛言.png,a_84_logprob-16.36_depth2_宀龰𠂒.png,b_40_logprob-12.56_depth1_牛言.png
172,42,69,-32.71590805053711,-13.792120933532715,C,A,two-apart,False,,69,b_69_logprob-13.79_depth1_扌罒.png,a_42_logprob-32.72_depth2_子宀寸.png,b_69_logprob-13.79_depth1_扌罒.png
173,82,75,-13.991565704345703,-17.021526336669922,A,B,adjacent,False,1.0,82,a_82_logprob-13.99_depth2_山厂隹.png,a_82_logprob-13.99_depth2_山厂隹.png,b_75_logprob-17.02_depth2_亻于朩.png
174,90,60,-13.770999908447266,-34.16989517211914,A,C,two-apart,False,,90,a_90_logprob-13.77_depth1_女皿.png,a_90_logprob-13.77_depth1_女皿.png,b_60_logprob-34.17_depth2_𠂉灬米夊.png
175,27,17,-17.570690155029297,-31.419925689697266,B,C,adjacent,False,,27,a_27_logprob-17.57_depth2_酉山民.png,a_27_logprob-17.57_depth2_酉山民.png,b_17_logprob-31.42_depth2_木隹隹.png
176,82,35,-13.991565704345703,-34.89384841918945,A,C,two-apart,False,,82,a_82_logprob-13.99_depth2_山厂隹.png,a_82_logprob-13.99_depth2_山厂隹.png,b_35_logprob-34.89_depth2_𡿨灬止㇉.png
177,41,7,-16.394723892211914,-22.737812042236328,B,C,adjacent,False,,41,a_41_logprob-16.39_depth1_民及.png,a_41_logprob-16.39_depth1_民及.png,b_7_logprob-22.74_depth2_木九㐄.png
178,92,2,-16.640344619750977,-37.35856246948242,B,C,adjacent,False,,92,a_92_logprob-16.64_depth2_衤冖车.png,a_92_logprob-16.64_depth2_衤冖车.png,b_2_logprob-37.36_depth4_⺊𡿨凵乚酉.png
179,81,43,-12.170160293579102,-31.800039291381836,A,C,two-apart,False,,81,a_81_logprob-12.17_depth1_虫犬.png,a_81_logprob-12.17_depth1_虫犬.png,b_43_logprob-31.80_depth2_巨⺊女.png
180,0,36,-11.490913391113281,-30.93015480041504,A,C,two-apart,False,,0,a_0_logprob-11.49_depth1_⺊牙.png,a_0_logprob-11.49_depth1_⺊牙.png,b_36_logprob-30.93_depth2_𡿨灬冘.png
181,38,30,-19.521976470947266,-26.583446502685547,B,C,adjacent,False,,38,a_38_logprob-19.52_depth2_舟皿米.png,a_38_logprob-19.52_depth2_舟皿米.png,b_30_logprob-26.58_depth2_𠂊非言.png
182,86,37,-12.327071189880371,-18.13975715637207,A,B,adjacent,False,,86,a_86_logprob-12.33_depth2_扌冖亅.png,a_86_logprob-12.33_depth2_扌冖亅.png,b_37_logprob-18.14_depth3_⺊厂工刂.png
183,28,77,-40.24191665649414,-11.432538986206055,C,A,two-apart,False,,77,b_77_logprob-11.43_depth1_木㔾.png,a_28_logprob-40.24_depth3_舟乛厶𠃛.png,b_77_logprob-11.43_depth1_木㔾.png
184,53,60,-15.87448501586914,-34.16989517211914,B,C,adjacent,False,,53,a_53_logprob-15.87_depth2_⺊山禺.png,a_53_logprob-15.87_depth2_⺊山禺.png,b_60_logprob-34.17_depth2_𠂉灬米夊.png
185,1,35,-11.010005950927734,-34.89384841918945,A,C,two-apart,False,,1,a_1_logprob-11.01_depth1_言言.png,a_1_logprob-11.01_depth1_言言.png,b_35_logprob-34.89_depth2_𡿨灬止㇉.png
186,82,36,-13.991565704345703,-30.93015480041504,A,C,two-apart,False,1.0,82,a_82_logprob-13.99_depth2_山厂隹.png,a_82_logprob-13.99_depth2_山厂隹.png,b_36_logprob-30.93_depth2_𡿨灬冘.png
187,45,37,-55.62016296386719,-18.13975715637207,C,B,adjacent,False,,37,b_37_logprob-18.14_depth3_⺊厂工刂.png,a_45_logprob-55.62_depth3_女欠灬朩.png,b_37_logprob-18.14_depth3_⺊厂工刂.png
188,91,34,-18.618663787841797,-30.464183807373047,B,C,adjacent,False,,91,a_91_logprob-18.62_depth2_重𠂊龰.png,a_91_logprob-18.62_depth2_重𠂊龰.png,b_34_logprob-30.46_depth3_亻勹米犬.png
189,33,48,-18.17842674255371,-33.864952087402344,B,C,adjacent,False,,33,a_33_logprob-18.18_depth2_勹耳瓜.png,a_33_logprob-18.18_depth2_勹耳瓜.png,b_48_logprob-33.86_depth2_疒㇀女.png
190,12,95,-11.818732261657715,-15.948890686035156,A,B,adjacent,False,,12,a_12_logprob-11.82_depth2_氵冖亅.png,a_12_logprob-11.82_depth2_氵冖亅.png,b_95_logprob-15.95_depth2_言⺊女.png
191,90,94,-13.770999908447266,-14.886737823486328,A,B,adjacent,False,,90,a_90_logprob-13.77_depth1_女皿.png,a_90_logprob-13.77_depth1_女皿.png,b_94_logprob-14.89_depth1_皮巨.png
192,50,13,-59.17383575439453,-13.625162124633789,C,A,two-apart,True,,13,b_13_logprob-13.63_depth2_疒灬灬.png,a_50_logprob-59.17_depth4_⺌𠂉𠃋皿宀刂.png,b_13_logprob-13.63_depth2_疒灬灬.png
193,28,91,-40.24191665649414,-18.618663787841797,C,B,adjacent,False,,91,b_91_logprob-18.62_depth2_重𠂊龰.png,a_28_logprob-40.24_depth3_舟乛厶𠃛.png,b_91_logprob-18.62_depth2_重𠂊龰.png
194,1,16,-11.010005950927734,-15.000873565673828,A,B,adjacent,False,,1,a_1_logprob-11.01_depth1_言言.png,a_1_logprob-11.01_depth1_言言.png,b_16_logprob-15.00_depth1_钅𡸁.png
195,42,88,-32.71590805053711,-11.282393455505371,C,A,two-apart,False,,88,b_88_logprob-11.28_depth1_亻井.png,a_42_logprob-32.72_depth2_子宀寸.png,b_88_logprob-11.28_depth1_亻井.png
196,41,69,-16.394723892211914,-13.792120933532715,B,A,adjacent,False,,69,b_69_logprob-13.79_depth1_扌罒.png,a_41_logprob-16.39_depth1_民及.png,b_69_logprob-13.79_depth1_扌罒.png
197,5,3,-18.447521209716797,-41.543251037597656,B,C,adjacent,False,,5,a_5_logprob-18.45_depth1_日止.png,a_5_logprob-18.45_depth1_日止.png,b_3_logprob-41.54_depth3_𠂉灬欠寸夊.png
198,44,54,-27.561222076416016,-12.640939712524414,C,A,two-apart,False,,54,b_54_logprob-12.64_depth1_牛非.png,a_44_logprob-27.56_depth2_灬灬⺆隹.png,b_54_logprob-12.64_depth1_牛非.png
199,69,63,-13.792120933532715,-19.64266586303711,A,B,adjacent,False,,69,a_69_logprob-13.79_depth1_扌罒.png,a_69_logprob-13.79_depth1_扌罒.png,b_63_logprob-19.64_depth2_豸虫車.png
